,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
49,-14.733261,-19.0782,45.86966,-11.671214,-13.669365,-1.2836903,-2.8253863,-11.098402,13.409484,30.020296,14.865071,-8.530343,2.57294,-19.583485,3.9011106,-12.074082
50,3.1566248,-46.785507,28.505453,-8.064772,6.1745553,3.7082834,-33.349586,10.225921,32.175735,11.8483305,8.990975,-10.757425,28.835476,-24.501625,2.0164835,0.10657419
51,-13.6652155,-23.131977,46.205837,-7.6262493,-14.736145,-1.8891367,-2.6051028,-5.0011554,17.397745,28.244112,15.8704605,-8.326284,4.810856,-22.190525,3.232846,-9.998282
52,-13.862765,-23.09011,46.19729,-7.5904055,-14.731011,-1.832893,-2.5544527,-4.843573,17.196205,28.232773,15.840022,-8.035831,4.8017707,-21.995066,3.1473749,-9.712274
53,-14.193816,-23.0228,46.12272,-7.4862103,-14.673852,-1.9772823,-2.6290321,-4.6372538,16.75958,28.160002,15.749369,-7.692489,4.781481,-21.772118,3.2493389,-9.407189
54,-13.790999,-22.922901,46.214645,-7.984564,-14.810252,-1.6006999,-2.6910536,-5.1951065,17.230047,28.411871,16.039799,-8.107015,4.6233487,-21.775507,3.051352,-9.753078
55,-13.896607,-23.116768,46.023903,-7.4668345,-14.702382,-2.1604583,-2.8464136,-4.728939,17.02082,28.08601,15.849752,-8.109403,4.7795873,-22.032185,3.4670854,-9.748765
56,-14.1541395,-22.56019,45.867683,-12.81422,-15.887731,-2.1205287,-9.0552845,-8.685512,16.204914,29.67162,19.753603,-10.0060625,2.3496563,-19.420519,5.008156,-10.620342
57,-13.943522,-24.621012,43.497356,-12.065051,-11.844754,-2.844264,-11.745819,-7.089421,14.930731,27.178541,16.439583,-9.026426,5.7995048,-19.672243,5.7890506,-9.648353
58,-13.763019,-25.677427,44.081364,-15.364175,-11.623414,-6.9589868,-17.936047,-12.694833,14.098017,27.683928,18.061098,-14.729172,4.832719,-21.745113,10.47838,-16.275732
59,-15.768095,-20.575682,46.594543,-11.994034,-14.537719,-1.2376982,-4.667633,-9.435534,13.780505,30.207657,16.534475,-7.6725316,2.694405,-18.986969,3.724716,-10.236504
60,-15.969245,-23.52829,45.435425,-14.450734,-11.713254,-3.7572622,-12.190896,-11.25094,12.518407,28.936138,16.20259,-9.908137,4.7525706,-19.509695,6.9164433,-12.364972
61,-16.734064,-21.077894,44.585587,-11.068462,-11.59468,-2.9677415,-6.533907,-8.534689,10.875122,28.261194,13.680956,-6.5123553,4.5472097,-18.690886,5.350662,-9.679296
62,-17.152533,-21.111364,44.704666,-11.0803585,-11.597985,-3.0496395,-6.6884513,-8.326857,10.502692,28.32913,13.694822,-6.1416554,4.5416474,-18.477177,5.4163218,-9.309587
63,-17.01666,-21.230423,44.60196,-11.066364,-11.589402,-3.090744,-6.89636,-8.234641,10.6354685,28.24562,13.770623,-6.2460623,4.590962,-18.526855,5.4795017,-9.309366
64,-16.67048,-21.016905,44.420235,-10.65024,-11.710061,-3.2005882,-6.294136,-8.232297,10.891202,28.053856,13.649555,-6.542768,4.4829245,-18.82387,5.4525075,-9.693684
65,-17.14213,-21.101223,44.468605,-10.742167,-11.664229,-3.2318666,-6.6589127,-7.925299,10.441951,28.095524,13.702125,-6.038501,4.5109015,-18.458006,5.510001,-9.11117
66,-17.051441,-21.126686,44.7238,-11.106125,-11.63849,-2.9915946,-6.6564755,-8.373344,10.643695,28.350676,13.747087,-6.231529,4.5331674,-18.52529,5.3684516,-9.379431
67,-16.681946,-22.306547,44.749676,-11.406594,-12.043924,-3.9996545,-8.788674,-8.34577,11.460578,28.123222,14.90476,-7.604737,4.5819016,-19.23218,6.392458,-10.208362
68,-17.118725,-22.421467,44.891026,-11.502204,-11.920076,-3.9720905,-8.990954,-8.155048,11.086085,28.194885,14.832514,-7.1591525,4.6973863,-18.988298,6.3699045,-9.77399
69,-16.541338,-22.796303,44.84725,-11.117427,-11.842317,-4.5794973,-9.0381975,-8.402815,11.672654,27.923319,14.710991,-8.192206,4.9135075,-19.953772,6.827215,-10.931379
70,-17.590696,-22.988209,45.161415,-11.659853,-11.565664,-4.430108,-9.81351,-8.154523,10.69822,28.208828,14.685209,-7.1513786,5.0779657,-19.176508,6.8142138,-9.856417
71,-9.987881,-30.091038,39.306602,-10.981608,-3.6802473,1.2086898,-13.902429,-2.9880183,17.993694,22.604078,9.899291,-6.7589617,14.478673,-20.477345,2.2358031,-6.197302
72,-9.668071,-30.153963,39.186043,-10.473122,-3.1072538,1.6312392,-12.892835,-2.7363143,18.269659,22.339872,8.992193,-6.503484,15.094784,-20.801186,1.6889186,-6.160303
73,-9.348521,-29.838644,38.795033,-10.479861,-3.161463,1.9397157,-12.656642,-2.7263782,18.403278,22.187977,9.044281,-6.448585,14.923781,-20.525522,1.4137837,-5.999031
74,-11.408692,-30.387032,39.7012,-12.163506,-3.1088033,1.6816002,-15.315897,-2.9226942,16.628258,23.084528,9.872732,-5.280475,14.792502,-19.166641,2.0979476,-4.6447015
75,-11.142708,-30.425234,39.573162,-11.688791,-2.5138445,2.1334016,-14.324341,-2.6640959,16.833015,22.831146,8.951054,-4.9466324,15.406259,-19.417652,1.5333542,-4.5309305
76,-10.812822,-30.105572,39.18293,-11.699096,-2.5595105,2.4573853,-14.067767,-2.6674452,16.976501,22.680267,8.990411,-4.8947244,15.2416,-19.145845,1.2428193,-4.379204
77,-11.157758,-30.503418,39.632114,-12.387014,-3.0675259,1.6916811,-15.632043,-3.1992724,16.861986,23.051826,10.002534,-5.6306176,14.814004,-19.25986,2.1500914,-4.956873
78,-18.039648,-23.139788,44.913498,-11.593876,-11.424952,-4.9385886,-10.572383,-7.8103104,10.050282,27.967499,14.698646,-6.8788176,5.1037765,-18.91796,7.290472,-9.506167
79,-5.9801636,-34.10353,37.05278,-11.775451,-1.874388,4.10047,-17.789896,-0.37359893,23.024948,20.611889,10.62487,-7.4877095,17.790934,-20.682413,0.12900805,-4.157766
80,-6.082906,-34.011303,37.447113,-12.168036,-2.6059766,3.8304775,-18.346895,-0.67984766,23.160776,21.110779,11.563725,-7.901356,17.169476,-20.657309,0.54658127,-4.3763576
81,-15.164609,-19.585228,44.04455,-10.743314,-13.500848,-2.7141218,-5.3745213,-8.591831,12.197157,28.594082,15.3235235,-7.599107,2.6325681,-18.700037,5.3078494,-10.052835
82,-10.4489841,-26.550087,42.2901955,-12.2537365,-8.01139164,3.41578007,-8.83998585,-5.60341406,19.0556564,26.0141811,12.8773966,-6.92320108,10.3568964,-19.5107365,0.0382951908,-6.93640327
83,-8.886822,-29.824614,36.9625,-12.390192,-4.6907916,2.6071217,-17.139553,-1.4214623,18.697231,21.973389,12.629949,-5.906562,13.415342,-17.590038,1.7200991,-3.0434594
