CHEMBLID,smiles,ido_ic50,tdo_ic50
125,CHEMBL4277466,Nc1oc2c[n+]([O-])ccc2c1Nc1ccc(F)c(Cl)c1,200.0,500.0
126,CHEMBL4277566,Nc1oc2cnccc2c1Nc1cccnc1,1000.0,500.0
127,CHEMBL4277636,Cc1cc(Nc2c(N)oc3cnccc23)ccc1F,200.0,500.0
128,CHEMBL4277745,Nc1oc2c(-c3ccc4ccccc4c3)nccc2c1Nc1ccc(F)c(Cl)c1,200.0,2000.0
129,CHEMBL4277781,O=C1c2ccccc2C(=O)c2c1ncn2Cc1cccc(Cl)c1,100000.0,100000.0
130,CHEMBL4277866,COc1ccccc1-c1nccc2c(Nc3ccc(F)c(F)c3)c(N)oc12,200.0,500.0
131,CHEMBL4278098,N#Cc1ccc2c(Nc3cccc(C(F)(F)F)c3)c(N)oc2c1,200.0,500.0
132,CHEMBL4278199,Nc1sc2ccccc2c1Nc1cccc(C(F)(F)F)c1,200.0,2000.0
133,CHEMBL4278213,CCOC(=O)Nc1oc2c(C#N)nccc2c1N(C(=O)OCC)c1ccc(F)c(C(F)(F)F)c1,1000.0,2000.0
134,CHEMBL4278281,Nc1oc2cnc(F)cc2c1Nc1cccc(C(F)(F)F)c1,200.0,500.0
135,CHEMBL4278347,Nc1oc2cncc(Cl)c2c1Nc1ccc(Cl)c(F)c1,1000.0,500.0
136,CHEMBL4278364,Nc1sc2ccc(Cl)cc2c1Nc1ccccc1,200.0,2000.0
137,CHEMBL4278386,CC(C)(C)c1cccc(Nc2c(N)oc3cnccc23)c1,1000.0,2000.0
138,CHEMBL4278408,Nc1oc2cnccc2c1Nc1ccc2c(c1)CCCC2,1000.0,2000.0
139,CHEMBL4278457,Cc1cccc(Nc2c(N)oc3cc(C#N)ccc23)c1,200.0,2000.0
140,CHEMBL4278469,Nc1oc2c(-c3ccc4c(c3)OCO4)nccc2c1Nc1ccc(F)c(Cl)c1,200.0,500.0
141,CHEMBL4278584,Nc1sc2c(-c3ccccc3)cccc2c1Nc1ccc(F)c(Cl)c1,200.0,2000.0
142,CHEMBL4278645,Nc1oc2cnccc2c1Nc1cccc(C(F)(F)F)c1,200.0,500.0
143,CHEMBL4278716,Cl.Nc1sc2ccc(Cl)cc2c1Nc1cccc(C(F)(F)F)c1,200.0,500.0
144,CHEMBL4278779,Cc1ncc(C)c2c(Nc3ccc(F)c(Cl)c3)c(N)oc12,200.0,500.0
145,CHEMBL4278848,Cc1ccc(Nc2c(N)oc3cnccc23)cc1Br,200.0,500.0
